units,series_id,name,dataset_name
2017 $/Mcf,AEO.2018.HR_CPP.PRCE_NA_TRN_NA_NG_NA_MATL_Y13DLRPMCF.A,"Natural Gas Delivered : Transportation : Middle Atlantic, High resource, CPP, AEO2018",Annual Energy Outlook 2018
2017 $/MMBtu,AEO.2018.HIGHRT.PRCE_NA_ELEP_NA_CL_NA_SERCSOES_Y13DLRPMMBTU.A,"Electricity : Fuel Prices : Coal, SERC Reliability Corporation / Southeastern, High resource, AEO2018",Annual Energy Outlook 2018
2017 $/st,AEO.2018.CO2FEE15.PRCE_MNMTH_NA_NA_CL_WST_NA_Y13DLRPTN.A,"Coal Prices : Waste Coal, $15 carbon fee, AEO2018",Annual Energy Outlook 2018
2017 $/ton,AEO.2018.HRNUC_PLUS20.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, High resource, plus 20%, AEO2018",Annual Energy Outlook 2018
2017 cents/kWh,AEO.2018.AEO2017CPP.PRCE_NA_IDAL_NA_ELC_NA_RFCWT_Y13CNTPKWH.A,"Electricity : End-Use Prices : Industrial, Reliability First Corporation / West, AEO2017, CPP, AEO2018",Annual Energy Outlook 2018
2018 $/b,AEO.2019.LOWMACRO.PRCE_NA_ONS_NA_CR_WLHD_GLFCT_Y13DLRPBBL.A,"Crude Oil : Wellhead Prices : Lower 48 Onshore : Gulf Coast, Low growth, AEO2019",Annual Energy Outlook 2019
2018 $/gal,AEO.2019.REF2019.PRCE_NA_COMM_NA_DFO_NA_USA_Y13DLRPGLN.A,"Real Petroleum Prices : Commercial : Distillate Fuel Oil, Reference, AEO2019",Annual Energy Outlook 2019
2018 $/Mcf,AEO.2019.LOWMACRO.PRCE_NA_IDAL_NA_NG_NA_NENGL_Y13DLRPMCF.A,"Natural Gas Delivered : Industrial : New England, Low growth, AEO2019",Annual Energy Outlook 2019
2018 $/MMBtu,AEO.2019.HIGHPRICE.PRCE_REAL_ELEP_NA_RFO_NA_SOATL_Y13DLRPMMBTU.A,"Energy Prices : Electric Power : Residual Fuel Oil, South Atlantic, High price, AEO2019",Annual Energy Outlook 2019
2018 $/st,AEO.2019.LOWPRICE.PRCE_MNMTH_NA_NA_CL_NA_NA_Y13DLRPTN.A,"Coal Minemouth Prices : United States Average, Low price, AEO2019",Annual Energy Outlook 2019
2018 $/ton,AEO.2019.LOWMACRO.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, Low growth, AEO2019",Annual Energy Outlook 2019
2018 cents/kWh,AEO.2019.HIGHRT.PRCE_NA_TRN_NA_ELC_NA_SERCCNT_Y13CNTPKWH.A,"Electricity : End-Use Prices : Transportation, SERC Reliability Corporation / Central, High resource, AEO2019",Annual Energy Outlook 2019
2019 $/b,AEO.2020.LOWMACRO.PRCE_RLP_TEN_NA_WTI_NA_USA_Y13DLRPBBL.A,"Total Energy : Real Prices : West Texas Intermediate, Low growth, AEO2020",Annual Energy Outlook 2020
2019 $/gal,AEO.2020.HIGHMACRO.PRCE_COMP_NA_NA_JFL_ATAX_MTN_Y13DLRPGLN.A,"Price Components : Jet Fuel : End-User Price : Tax/Allowance, Mountain, High growth, AEO2020",Annual Energy Outlook 2020
2019 $/Mcf,AEO.2020.HIGHOGS.PRCE_NA_ELEP_NA_NG_NA_PCF_Y13DLRPMCF.A,"Natural Gas Delivered : Electric Power : Pacific, High oil and gas supply, AEO2020",Annual Energy Outlook 2020
2019 $/MMBtu,AEO.2020.LOWMACRO.PRCE_NA_ELEP_NA_DSTL_NA_SWPPNO_Y13DLRPMMBTU.A,"Electricity : Fuel Prices : Distillate Fuel Oil, Southwest Power Pool / North, Low growth, AEO2020",Annual Energy Outlook 2020
2019 $/st,AEO.2020.LOWPRICE.PRCE_MNMTH_NA_NA_CL_LOSULBIT_SAPP_Y13DLRPTN.A,"Coal Minemouth Prices : Southern Appalachia : Low Sulfur Bituminous, Low price, AEO2020",Annual Energy Outlook 2020
2019 $/ton,AEO.2020.HIGHOGS.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, High oil and gas supply, AEO2020",Annual Energy Outlook 2020
2019 cents/kWh,AEO.2020.HIGHOGS.PRCE_NA_ELEP_TRE_ELC_NA_MCW_Y13CNTPKWH.A,"Electricity : Prices by Service Category : Transmission, Midcontinent / West, High oil and gas supply, AEO2020",Annual Energy Outlook 2020
AFUE,AEO.2014.LCCST14.EFF_STKE_RES_MSHR_DFR_NA_NA_AFUE.A,"Residential Equipment : Stock Average Efficiency: Main Space Heaters: Distillate Furnace, Low coal cost, AEO2014",Annual Energy Outlook 2014
"available ton-miles/day, thousands",STEO.RMZTPUS.A,"Air Travel Capacity, Annual",Short-Term Energy Outlook
barrels,ELEC.PLANT.CONS_TOT.7462-DFO-ALL.Q,Fuel consumption quantity : Angoon (7462) : distillate fuel oil : all primemovers : quarterly,Electricity
Barrels,SEDS.PATPP.PA.A,"All petroleum products total consumption per capita, Pennsylvania",State Energy Data System (SEDS)
Barrels per Calendar Day,PET.8_NA_8DO_SNM_4.A,"New Mexico Refinery Annual Operating Atmospheric Crude Oil Distillation Capacity as of January 1, Annual",Petroleum
Barrels per Stream Day,PET.8_NA_8D0_SMI_5.A,"Michigan Refinery Annual Operable Atmospheric Crude Oil Distillation Capacity as of January 1, Annual",Petroleum
Bcf,AEO.2016.REF_RATE.QUN_FLW_FR_MNT_NG_NA_WNC_BLNCF.A,"Natural Gas : Flows : Into West North Central from : Mountain, CPP rate, AEO2016",Annual Energy Outlook 2016
bill,AEO.2014.HIGHPRICE.ECI_FTM_TRN_DMT_NA_NA_NA_BLN.A,"Freight : Domestic Shipping: Ton Miles Shipping, High price, AEO2014",Annual Energy Outlook 2014
bill 2005  $,AEO.2014.LCCST14.ECI_NA_NA_NA_GDP_RCNSP_NA_BLNY05DLR.A,"Macroeconomic Indicators : Components of Gross Domestic Product: Real Consumption, Low coal cost, AEO2014",Annual Energy Outlook 2014
bill 2005 $,AEO.2014.HCCST14.ECI_VOS_MANF_PCLO_NA_NA_NA_BLNY05DLR.A,"Industrial Macroeconomic : Manufacturing: Petroleum and Coal: Other Petroleum & Coal Products, High coal cost, AEO2014",Annual Energy Outlook 2014
bill 2010 $,IEO.2017.REFERENCE.GDPMER_MXC_B2010DOL.A,"GDP (exchange rate) : OECD : OECD Americas : Mexico and Chile, Reference, IEO2017",International Energy Outlook
bill 2012 $,AEO.2014.HIGHTECH.EXPD_NRN_IDAL_NA_NRN_NA_WSC_BLNY12DLR.A,"Energy Expenditures : Non-Renewable Industrial, West South Central, High technology, AEO2014",Annual Energy Outlook 2014
bill bbls,AEO.2014.HCCSTOM.RSV_NA_ONS_NA_CO_NA_L48_BLNBBL.A,"Lower 48 Reserves : Crude Oil: Onshore, Coal retirements, AEO2014",Annual Energy Outlook 2014
bill cu ft/year,AEO.2014.CO2FEE10HR.QUN_FLW_ENC_NA_NG_NA_SATL_BLNCF.A,"Natural Gas : Into South Atlantic from: East North Central, GHG10 with low gas price, AEO2014",Annual Energy Outlook 2014
billion 2009  $,AEO.2017.HIGHRT.ECI_NA_NA_NA_GDP_RINV_NA_BLNY09DLR.A,"Macroeconomic Indicators : Components of Gross Domestic Product : Real Investment, High resource, AEO2017",Annual Energy Outlook 2017
billion 2009 $,AEO.2018.LOWRT.KEI_GDP_NA_NA_NA_NA_SOATL_BLNY09DLR.A,"Energy Use & Related Statistics : Gross Domestic Product, South Atlantic, Low resource, AEO2018",Annual Energy Outlook 2018
(billion 2010 dollars),IEO.2019.LOWMACRO.GDPMER_WOR_B2010DOL.A,"GDP (exchange rate) : Total World, Low economic growth, IEO2019",International Energy Outlook
billion 2012  $,AEO.2020.LOWOGS.ECI_NA_NA_NA_GDP_RIMP_NA_BLNY09DLR.A,"Macroeconomic Indicators : GDP Components : Real Imports, Low oil and gas supply, AEO2020",Annual Energy Outlook 2020
billion 2012 $,AEO.2020.HIGHPRICE.ECI_VOS_MANF_PRP_NA_NA_NA_BLNY09DLR.A,"Macro Indicators : Shipments : Industrial : Manufacturing : Plastics and Rubber Products, High price, AEO2020",Annual Energy Outlook 2020
billion 2013 $,AEO.2015.HIGHMACRO.EXPD_REAL_RES_NA_NRN_NA_PCF_BLNY13DLR.A,"Energy Expenditures : Non-Renewable Residential, Pacific, High growth, AEO2015",Annual Energy Outlook 2015
billion 2015 $,AEO.2016.REF_TRADE.EXPD_REAL_IDAL_NA_NRN_NA_WNC_BLNY13DLR.A,"Energy Expenditures : Non-Renewable Industrial, West North Central, CPP trading, AEO2016",Annual Energy Outlook 2016
billion 2016 $,AEO.2017.LOWPRICE.EXPD_REAL_IDAL_NA_NRN_NA_PCF_BLNY13DLR.A,"Energy Expenditures : Non-Renewable Industrial, Pacific, Low price, AEO2017",Annual Energy Outlook 2017
billion 2017 $,AEO.2018.ANWR_RPHR.EXPD_REAL_TRN_NA_NRN_NA_NA_BLNY13DLR.A,"Energy Expenditures : Non-Renewable Transportation, United States, High ANWR, AEO2018",Annual Energy Outlook 2018
billion 2018 $,AEO.2019.AEO2018NO.EXPD_REAL_TRN_NA_NRN_NA_ESC_BLNY13DLR.A,"Energy Expenditures : Non-Renewable Transportation, East South Central, AEO2018, no CPP, AEO2019",Annual Energy Outlook 2019
billion 2019 $,AEO.2020.HIGHMACRO.EXPD_REAL_TRN_NA_NRN_NA_NA_BLNY13DLR.A,"Energy Expenditures : Non-Renewable Transportation, United States, High growth, AEO2020",Annual Energy Outlook 2020
billion b,AEO.2015.LOWMACRO.RSV_NA_OFS_NA_CR_NA_L48_BLNBBL.A,"Lower 48 Reserves : Crude Oil : Offshore, Low growth, AEO2015",Annual Energy Outlook 2015
billion barrels,INTL.57-6-WP24-BB.A,"Crude oil including lease condensate reserves, Other Non-OECD - Europe and Eurasia, Annual",International Energy Data
